restaurant_id,latitude,longitude
483,n_a,n_a
484.0,45.0662549,7.6830707
485.0,44.5808173,10.9770076
486.0,46.0702311,11.1255053
487.0,-37.9215857,145.1391609
488.0,41.889122367346936,-88.3093461020408
489,n_a,n_a
490.0,45.4406393,12.3250026
491,n_a,n_a
492.0,45.4110124,11.8817343
493.0,45.4437351,10.9950153
494.0,45.4422821,10.9979821
495,n_a,n_a
496.0,45.405723,11.8764443
497.0,47.7569696,1.5017887
498.0,45.4370153,10.9905741
499,n_a,n_a
500.0,45.4446211,10.9941143
501.0,47.7569696,1.5017887
502.0,45.4372062,10.9969019
503.0,45.4423932,11.000306
504.0,45.5306572,10.7783284
505.0,52.2346928,21.0045991
506.0,40.3544936,18.1767397
507,n_a,n_a
508.0,44.4938323,11.3451736
509.0,45.4441854,10.9804802
510.0,45.4398201,10.9993255
511,n_a,n_a
512,n_a,n_a
513.0,45.4672934,9.1832756
514.0,45.987577,9.2121764
515.0,41.8964466,12.4988648
516.0,45.4685166,10.5416749
517,n_a,n_a
518.0,45.5457569,11.5443786
519.0,40.6720545,14.7283924
520.0,45.4074182,11.8739796
521.0,45.4064212,11.87905
522,n_a,n_a
523.0,45.4933473,10.6075867
524,n_a,n_a
525.0,43.7670724,11.2540274
526.0,45.4375247,10.9935238
527,n_a,n_a
528,n_a,n_a
529.0,45.4401841,10.9933971
530.0,44.3295909,9.2127237
531.0,47.515517,19.027161
532.0,45.4699351,10.8503749
533.0,45.329028,10.9489434
534,n_a,n_a
535.0,45.4470953,10.9994988
536,n_a,n_a
537,n_a,n_a
538.0,44.8398772,-0.569592
539.0,51.4984457,-0.0840635
540,n_a,n_a
541.0,45.88092985,10.85446867719709
542,n_a,n_a
543.0,47.7569696,1.5017887
544,n_a,n_a
545.0,45.4378256,10.69542390403954
546,n_a,n_a
547.0,45.765075350000004,10.807315625764463
548.0,45.5831663,10.7261127
549.0,11.930418,-85.9516665
550.0,51.5432352,-0.1023346
551.0,-33.9152112,151.24161
552.0,45.4310481,12.3286716
553,n_a,n_a
554,n_a,n_a
555.0,45.4070165,11.8927048
556.0,45.46919990000001,10.528846004320988
557.0,45.5490264,11.5485509
558,n_a,n_a
559,n_a,n_a
560,n_a,n_a
561,n_a,n_a
562,n_a,n_a
563.0,40.6776904,14.7613325
564,n_a,n_a
565.0,45.1837483,9.1523625
566.0,41.9033005,12.4748399
567,n_a,n_a
568,n_a,n_a
569,n_a,n_a
570,n_a,n_a
571.0,45.561374,12.2353995
572.0,52.4575997,1.5641208
573,n_a,n_a
574.0,45.8129186,9.0798949
575,n_a,n_a
576.0,45.4349779,12.3388813
577,n_a,n_a
578,n_a,n_a
579,n_a,n_a
580,n_a,n_a
581.0,45.54858,11.55611
582.0,45.4427154,10.9977366
583.0,45.4415894,10.9985571
584.0,47.7569696,1.5017887
585.0,47.7569696,1.5017887
586.0,44.3557305,11.7124745
587.0,40.77546529999999,-73.96308500487805
588,n_a,n_a
589.0,45.6271599,11.0892621
590.0,55.669438,12.558063
591.0,51.2075441,-2.6483945
592,n_a,n_a
593,n_a,n_a
594.0,45.4388843,10.9913915
595,n_a,n_a
596.0,45.7646792,10.8079125
597,n_a,n_a
598.0,45.4343793,10.6884861
599.0,45.5481486,10.7216668
600.0,45.4077487,10.8411509
601,n_a,n_a
602,n_a,n_a
603.0,45.4793083,10.890401
604.0,45.5759759,10.706603
605.0,45.5528645,10.8884913
606.0,45.7657322,10.811453
607.0,45.4810427,9.2039148
608.0,45.4389703,10.9895054
609,n_a,n_a
610,n_a,n_a
611.0,31.794285797867627,-106.35905634704515
612,n_a,n_a
613,n_a,n_a
614,n_a,n_a
615,n_a,n_a
616,n_a,n_a
617.0,45.4063474,10.976905130575819
618,n_a,n_a
619.0,45.4063474,10.976905130575819
620.0,43.8845906,10.7733257
621.0,-36.85835,174.7481744
622,n_a,n_a
623,n_a,n_a
624,n_a,n_a
625,n_a,n_a
626.0,-37.795569,144.975048
627.0,46.4933849,11.3698439
628.0,44.47982,11.3839535
629,n_a,n_a
630,n_a,n_a
631,n_a,n_a
632.0,45.4031254,11.8755844
633.0,45.9141791,9.1319557
634,n_a,n_a
635,n_a,n_a
636,n_a,n_a
637,n_a,n_a
638,n_a,n_a
639,n_a,n_a
640.0,41.2465805,-75.8826341
641,n_a,n_a
642.0,43.7713976,11.2672703
643.0,40.9412925,14.300933
644,n_a,n_a
645,n_a,n_a
646,n_a,n_a
